Date,open_sp,high_sp,low_sp,close_sp,volume_sp
"Dec 29, 2017","2689.15","2692.12","2673.61","2673.61","2447760000"
"Dec 28, 2017","2686.10","2687.66","2682.69","2687.54","2174890000"
"Dec 27, 2017","2682.10","2685.64","2678.91","2682.62","2202900000"
"Dec 26, 2017","2679.09","2682.74","2677.96","2680.50","1970660000"
"Dec 22, 2017","2684.22","2685.35","2678.13","2683.34","2401030000"
"Dec 21, 2017","2683.02","2692.64","2682.40","2684.57","3293130000"
"Dec 20, 2017","2688.18","2691.01","2676.11","2679.25","3246230000"
"Dec 19, 2017","2692.71","2694.44","2680.74","2681.47","3407680000"
"Dec 18, 2017","2685.92","2694.97","2685.92","2690.16","3727770000"
"Dec 15, 2017","2660.63","2679.63","2659.14","2675.81","5736910000"
"Dec 14, 2017","2665.87","2668.09","2652.01","2652.01","3442760000"
"Dec 13, 2017","2667.59","2671.88","2662.85","2662.85","3568360000"
"Dec 12, 2017","2661.73","2669.72","2659.78","2664.11","3568910000"
"Dec 11, 2017","2652.19","2660.33","2651.47","2659.99","3141480000"
"Dec 08, 2017","2646.21","2651.65","2644.10","2651.50","3126750000"
"Dec 07, 2017","2628.38","2640.99","2626.53","2636.98","3297060000"
"Dec 06, 2017","2626.24","2634.41","2624.75","2629.27","3253080000"
"Dec 05, 2017","2639.78","2648.72","2627.73","2629.57","3547570000"
"Dec 04, 2017","2657.19","2665.19","2639.03","2639.44","4025840000"
"Dec 01, 2017","2645.10","2650.62","2605.52","2642.22","3950930000"
"Nov 30, 2017","2633.93","2657.74","2633.93","2647.58","4965700000"
"Nov 29, 2017","2627.82","2634.89","2620.32","2626.07","4090630000"
"Nov 28, 2017","2605.94","2627.69","2605.44","2627.04","3493340000"
"Nov 27, 2017","2602.66","2606.41","2598.87","2601.42","3017720000"
"Nov 24, 2017","2600.42","2604.21","2600.42","2602.42","1385890000"
"Nov 22, 2017","2600.31","2600.94","2595.23","2597.08","2764110000"
"Nov 21, 2017","2589.17","2601.19","2589.17","2599.03","3351230000"
"Nov 20, 2017","2579.49","2584.64","2578.24","2582.14","3023940000"
"Nov 17, 2017","2582.94","2583.96","2577.62","2578.85","3309800000"
"Nov 16, 2017","2572.95","2590.09","2572.95","2585.64","3329730000"
"Nov 15, 2017","2569.45","2572.84","2557.45","2564.62","3586590000"
"Nov 14, 2017","2577.75","2579.66","2566.56","2578.87","3643580000"
"Nov 13, 2017","2576.53","2587.66","2574.48","2584.84","3405200000"
"Nov 10, 2017","2580.18","2583.81","2575.57","2582.30","3489740000"
"Nov 09, 2017","2584.00","2586.50","2566.33","2584.62","3844100000"
"Nov 08, 2017","2588.71","2595.47","2585.02","2594.38","3898450000"
"Nov 07, 2017","2592.11","2597.02","2584.35","2590.64","3815190000"
"Nov 06, 2017","2587.47","2593.38","2585.66","2591.13","3541970000"
"Nov 03, 2017","2581.93","2588.42","2576.77","2587.84","3568710000"
"Nov 02, 2017","2579.46","2581.11","2566.17","2579.85","4050140000"
"Nov 01, 2017","2583.21","2588.40","2574.92","2579.36","3841200000"
